"Class Name - Live Allocated Objects","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"sun.rmi.transport.Transport$1","13856","433","446","0.00","1"
"sun.rmi.transport.StreamRemoteCall","12992","406","406","0.00","1"
"java.io.ObjectStreamField","12360","309","318","0.00","1"
"java.io.ObjectStreamClass$ClassDataSlot[]","12168","507","523","0.00","1"
"java.util.ArrayList","12096","504","521","0.00","1"
"java.util.HashSet","12048","753","777","0.00","1"
"java.security.ProtectionDomain","12040","301","312","0.00","1"
"javax.management.ObjectName$Property","11928","497","513","0.00","1"
"java.util.Hashtable","11328","236","243","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","10320","430","444","0.00","1"
"sun.rmi.transport.ObjectEndpoint","10296","429","442","0.00","1"
"java.rmi.server.ObjID","10224","426","441","0.00","1"
"java.io.ObjectOutputStream$ReplaceTable","10128","422","435","0.00","1"
"java.lang.management.ThreadInfo[]","10120","70","73","0.00","1"
"java.lang.Thread[]","10112","70","73","0.00","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","8192","256","264","0.00","1"
"java.io.ObjectInputStream$ValidationList","8080","505","521","0.00","1"
"java.util.HashMap$Values","8032","502","519","0.00","1"
"java.security.CodeSource","7392","231","238","0.00","1"
"sun.rmi.server.MarshalOutputStream$1","6976","436","450","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","5760","80","83","0.00","1"
"com.sun.jmx.remote.util.OrderClassLoaders","5472","76","79","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","5400","75","78","0.00","1"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","5120","64","66","0.00","1"
"java.security.Principal[]","4992","312","323","0.00","1"
"java.security.ProtectionDomain$Key","4880","305","316","0.00","1"
"javax.management.Attribute","4848","202","210","0.00","1"
"java.io.ObjectStreamField[]","4120","146","150","0.00","1"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","3976","71","74","0.00","1"
"java.util.ArrayList$Itr","3616","113","116","0.00","1"
"java.security.ProtectionDomain[]","3576","149","155","0.00","1"
"java.lang.Object","3440","215","221","0.16","2"
"javax.management.MBeanPermission","3160","79","82","0.00","1"
"java.security.AccessControlContext","2880","72","75","0.00","1"
"java.util.HashMap$KeyIterator","2680","67","70","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl","2496","156","162","0.00","1"
"java.security.Permissions","2496","78","81","0.00","1"
"javax.management.AttributeList","2208","69","72","0.00","1"
"java.io.ByteArrayInputStream","2144","67","69","0.00","1"
"java.security.PermissionsHash","1920","80","83","0.00","1"
"java.security.Permission[]","1920","80","83","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$7","1848","77","80","0.00","1"
"javax.management.remote.rmi.RMIConnectionImpl$6","1848","77","81","0.00","1"
"java.net.URL","1792","28","30","0.00","1"
"org.apache.catalina.LifecycleEvent","840","35","36","0.00","1"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","840","35","36","0.00","1"
"java.net.URLClassLoader$2","696","29","30","0.00","1"
"org.apache.catalina.Container[]","624","29","30","0.00","1"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","504","9","10","0.00","1"
"java.io.File","448","14","15","0.00","1"
"sun.misc.URLClassPath$FileLoader$1","416","13","14","0.00","1"
"java.lang.reflect.Method","264","3","3","0.00","1"
"java.lang.reflect.Field","216","3","3","0.00","1"
"short[]","160","2","2","0.00","1"
"java.lang.reflect.Constructor","160","2","2","0.00","1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","144","1","1","0.00","1"
"java.lang.ref.SoftReference","120","3","3","0.00","1"
"java.util.Collections$1","120","5","6","0.00","1"
"java.net.SocksSocketImpl","112","1","1","0.00","1"
"org.apache.catalina.webresources.Cache$EvictionOrder","112","7","8","0.00","1"
"java.io.ObjectInputStream$FilterValues","96","2","2","0.00","1"
"java.util.TreeSet","96","6","7","0.00","1"
"java.lang.NoSuchMethodException","64","2","2","0.00","1"
"java.net.InetAddress$InetAddressHolder","64","2","2","0.00","1"
"sun.rmi.transport.tcp.TCPChannel","56","1","1","0.00","1"
"java.lang.Class$ReflectionData","56","1","1","0.00","1"
"sun.rmi.transport.tcp.TCPConnection","56","1","1","0.00","1"
"java.io.ObjectStreamClass$EntryFuture","48","2","2","0.00","1"
"java.net.SocketInputStream","48","1","1","0.00","1"
"java.net.SocketOutputStream","48","1","1","0.00","1"
"java.nio.HeapCharBuffer","48","1","1","0.00","1"
"java.lang.ref.Finalizer","40","1","1","0.00","1"
"java.lang.ClassNotFoundException","40","1","1","0.00","1"
"java.io.ObjectStreamClass$FieldReflector","40","1","1","0.00","1"
"java.io.BufferedInputStream","40","1","1","0.00","1"
"sun.rmi.transport.tcp.TCPEndpoint","40","1","1","0.00","1"
"java.net.Socket","32","1","1","0.00","1"
"java.util.concurrent.ConcurrentHashMap$Node","32","1","1","0.00","1"
"java.io.FileDescriptor","32","1","1","0.00","1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","32","1","1","0.00","1"
"java.lang.reflect.Field[]","32","1","1","0.00","1"
"java.util.concurrent.SynchronousQueue$TransferStack$SNode","32","1","1","17.00","1"
"org.apache.catalina.Session[]","32","2","2","0.00","1"
"java.net.NetworkInterface$1checkedAddresses","32","1","1","0.00","1"
"java.net.Inet6Address$Inet6AddressHolder","32","1","1","0.00","1"
"java.lang.NoSuchFieldException","32","1","1","0.00","1"
"java.net.InetAddress","24","1","1","0.00","1"
"java.util.LinkedList$Node","24","1","1","0.00","1"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter","24","1","1","0.00","1"
"java.io.ObjectStreamClass$ExceptionInfo","24","1","1","0.00","1"
"java.rmi.server.Operation[]","24","1","1","0.00","1"
"java.io.ObjectStreamClass$2","24","1","1","0.00","1"
"java.rmi.dgc.Lease","24","1","1","0.00","1"
"java.lang.reflect.Constructor[]","24","1","1","0.00","1"
"org.apache.catalina.ContainerEvent","24","1","1","0.00","1"
"java.lang.reflect.Method[]","24","1","1","0.00","1"
"org.apache.catalina.session.ManagerBase$SessionTiming","24","1","1","0.00","1"
"java.net.NetworkInterface$2","24","1","1","0.00","1"
"java.io.BufferedOutputStream","24","1","1","0.00","1"
"java.util.concurrent.ConcurrentHashMap$KeySetView","24","1","1","0.00","1"
"sun.rmi.server.UnicastServerRef$1","24","1","1","0.00","1"
"java.lang.Class$1","24","1","1","0.00","1"
"java.net.InetAddress[]","24","1","1","0.00","1"
"javax.servlet.http.HttpSessionEvent","16","1","1","0.00","1"
"java.lang.Integer","16","1","1","0.00","1"
"java.rmi.server.ObjID[]","16","1","1","0.00","1"
"java.net.Socket$3","16","1","1","0.00","1"
"java.net.Socket$2","16","1","1","0.00","1"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor47","0","0","0","0.00","0"
"org.hibernate.hql.internal.ast.tree.Node","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor46","0","0","0","0.00","0"
"org.hibernate.hql.internal.ast.HqlToken","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor45","0","0","0","0.00","0"
"com.sun.crypto.provider.TlsPrfGenerator$V12","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor44","0","0","0","0.00","0"
"com.sun.crypto.provider.HmacCore$HmacSHA256","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor43","0","0","0","0.00","0"
"com.sun.crypto.provider.AESCipher$General","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor42","0","0","0","0.00","0"
"com.mysql.cj.protocol.StandardSocketFactory","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor31","0","0","0","0.00","0"
"javax.management.ObjectInstance","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor30","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor29","0","0","0","0.00","0"
"java.rmi.MarshalledObject","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor28","0","0","0","0.00","0"
"java.lang.Boolean","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor41","0","0","0","0.00","0"
"com.sun.proxy.$Proxy95","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor40","0","0","0","0.00","0"
"org.springframework.core.$Proxy8","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor39","0","0","0","0.00","0"
"com.sun.proxy.$Proxy60","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor27","0","0","0","0.00","0"
"com.minishop.shop.controller.MainController$$EnhancerBySpringCGLIB$$c4b1bdb5","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor38","0","0","0","0.00","0"
"com.sun.proxy.$Proxy52","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor26","0","0","0","0.00","0"
"com.minishop.shop.controller.AdminController$$EnhancerBySpringCGLIB$$37127623","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor25","0","0","0","0.00","0"
"com.minishop.shop.dao.OrderDAO$$EnhancerBySpringCGLIB$$1bd18b18","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor24","0","0","0","0.00","0"
"com.minishop.shop.dao.ProductDAO$$EnhancerBySpringCGLIB$$2082e2b5","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor37","0","0","0","0.00","0"
"sun.security.provider.NativePRNG","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedSerializationConstructorAccessor23","0","0","0","0.00","0"
"com.minishop.shop.dao.AccountDAO$$EnhancerBySpringCGLIB$$9d0129fb","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor36","0","0","0","0.00","0"
"com.sun.proxy.$Proxy22","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor35","0","0","0","0.00","0"
"com.sun.proxy.$Proxy85","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor34","0","0","0","0.00","0"
"com.sun.proxy.$Proxy80","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor33","0","0","0","0.00","0"
"com.sun.proxy.$Proxy79","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor32","0","0","0","0.00","0"
"com.sun.proxy.$Proxy1","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor31","0","0","0","0.00","0"
"sun.security.ec.ECParameters","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor30","0","0","0","0.00","0"
"javax.management.remote.rmi.RMIConnectionImpl_Stub","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor29","0","0","0","0.00","0"
"sun.security.rsa.RSASignature$SHA256withRSA","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor28","0","0","0","0.00","0"
"sun.security.provider.X509Factory","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor27","0","0","0","0.00","0"
"sun.security.provider.SHA2$SHA256","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor26","0","0","0","0.00","0"
"com.sun.proxy.$Proxy10","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"com.sun.crypto.provider.HmacCore","0","0","0","0.00","0"
"java.security.ProviderException","0","0","0","0.00","0"
"java.security.InvalidAlgorithmParameterException","0","0","0","0.00","0"
"java.security.InvalidKeyException","0","0","0","0.00","0"
"org.hibernate.hql.internal.ast.tree.IdentNode","0","0","0","0.00","0"
"com.sun.crypto.provider.CipherBlockChaining","0","0","0","0.00","0"
"com.sun.crypto.provider.PKCS5Padding","0","0","0","0.00","0"
"javax.crypto.ShortBufferException","0","0","0","0.00","0"
"com.sun.crypto.provider.ElectronicCodeBook","0","0","0","0.00","0"
"com.sun.crypto.provider.FeedbackCipher","0","0","0","0.00","0"
"java.lang.IllegalStateException","0","0","0","0.00","0"
"com.sun.crypto.provider.AESCrypt","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor48","0","0","0","0.00","0"
"byte[][]","0","0","0","0.00","0"
"java.lang.RuntimeException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"int[][]","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"com.sun.crypto.provider.SymmetricCipher","0","0","0","0.00","0"
"com.sun.crypto.provider.CipherCore","0","0","0","0.00","0"
"javax.crypto.spec.GCMParameterSpec","0","0","0","0.00","0"
"javax.crypto.spec.RC2ParameterSpec","0","0","0","0.00","0"
"javax.crypto.spec.IvParameterSpec","0","0","0","0.00","0"
"java.security.NoSuchAlgorithmException","0","0","0","0.00","0"
"com.sun.crypto.provider.CipherTextStealing","0","0","0","0.00","0"
"com.sun.crypto.provider.CounterMode","0","0","0","0.00","0"
"com.sun.crypto.provider.GaloisCounterMode","0","0","0","0.00","0"
"com.sun.crypto.provider.CipherFeedback","0","0","0","0.00","0"
"com.sun.crypto.provider.OutputFeedback","0","0","0","0.00","0"
"com.sun.crypto.provider.PCBC","0","0","0","0.00","0"
"javax.crypto.NoSuchPaddingException","0","0","0","0.00","0"
"com.sun.crypto.provider.ISO10126Padding","0","0","0","0.00","0"
"javax.crypto.IllegalBlockSizeException","0","0","0","0.00","0"
"javax.crypto.BadPaddingException","0","0","0","0.00","0"
"com.sun.crypto.provider.AESCipher","0","0","0","0.00","0"
"java.security.InvalidParameterException","0","0","0","0.00","0"
"javax.crypto.spec.SecretKeySpec","0","0","0","0.00","0"
"sun.security.internal.spec.TlsKeyMaterialSpec","0","0","0","0.00","0"
"com.sun.crypto.provider.TlsMasterSecretGenerator$TlsMasterSecretKey","0","0","0","0.00","0"
"com.sun.crypto.provider.TlsPrfGenerator","0","0","0","0.00","0"
"java.security.DigestException","0","0","0","0.00","0"
"sun.security.ec.ECPrivateKeyImpl","0","0","0","0.00","0"
"sun.security.util.DerInputStream","0","0","0","0.00","0"
"java.io.IOException","0","0","0","0.00","0"
"java.math.BigInteger","0","0","0","0.00","0"
"sun.security.x509.AlgorithmId","0","0","0","0.00","0"
"sun.security.util.DerOutputStream","0","0","0","0.00","0"
"sun.security.util.DerValue","0","0","0","0.00","0"
"sun.security.ec.ECPublicKeyImpl","0","0","0","0.00","0"
"java.security.KeyRep","0","0","0","0.00","0"
"com.sun.crypto.provider.SunJCE$1","0","0","0","0.00","0"
"com.sun.crypto.provider.SunJCE","0","0","0","0.00","0"
"java.security.spec.InvalidParameterSpecException","0","0","0","0.00","0"
"java.security.spec.ECGenParameterSpec","0","0","0","0.00","0"
"sun.security.util.ECKeySizeParameterSpec","0","0","0","0.00","0"
"java.security.KeyPair","0","0","0","0.00","0"
"java.security.spec.InvalidKeySpecException","0","0","0","0.00","0"
"java.security.spec.ECPublicKeySpec","0","0","0","0.00","0"
"java.security.spec.X509EncodedKeySpec","0","0","0","0.00","0"
"java.security.spec.PKCS8EncodedKeySpec","0","0","0","0.00","0"
"java.security.spec.ECPrivateKeySpec","0","0","0","0.00","0"
"sun.security.ec.ECDSASignature$Raw","0","0","0","0.00","0"
"java.security.SignatureException","0","0","0","0.00","0"
"sun.security.ec.ECDSASignature$SHA1","0","0","0","0.00","0"
"sun.security.ec.ECDSASignature","0","0","0","0.00","0"
"java.lang.UnsupportedOperationException","0","0","0","0.00","0"
"sun.security.ec.NamedCurve","0","0","0","0.00","0"
"sun.security.util.ObjectIdentifier","0","0","0","0.00","0"
"sun.security.ec.CurveDB","0","0","0","0.00","0"
"java.util.LinkedHashMap","0","0","0","0.00","0"
"com.mysql.cj.log.StandardLogger","0","0","0","0.00","0"
"java.security.spec.ECFieldFp","0","0","0","0.00","0"
"java.security.spec.ECFieldF2m","0","0","0","0.00","0"
"java.security.spec.EllipticCurve","0","0","0","0.00","0"
"java.security.spec.ECPoint","0","0","0","0.00","0"
"sun.security.ec.SunECEntries","0","0","0","0.00","0"
"sun.security.ec.SunEC$1","0","0","0","0.00","0"
"sun.security.ec.SunEC","0","0","0","0.00","0"
"sun.security.action.PutAllAction","0","0","0","0.00","0"
"jdk.nashorn.internal.objects.annotations.Where","0","0","0","0.00","0"
"jdk.nashorn.internal.objects.annotations.Where[]","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor25","0","0","0","0.00","0"
"org.hibernate.internal.CoreMessageLogger_$logger","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor24","0","0","0","0.00","0"
"org.apache.logging.log4j.message.ParameterizedMessageFactory","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor23","0","0","0","0.00","0"
"org.apache.logging.log4j.message.DefaultFlowMessageFactory","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor22","0","0","0","0.00","0"
"com.sun.proxy.$Proxy24","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor21","0","0","0","0.00","0"
"com.sun.proxy.$Proxy36","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor20","0","0","0","0.00","0"
"com.sun.proxy.$Proxy50","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor19","0","0","0","0.00","0"
"com.sun.proxy.$Proxy19","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor18","0","0","0","0.00","0"
"com.sun.proxy.$Proxy26","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor17","0","0","0","0.00","0"
"com.sun.proxy.$Proxy30","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor16","0","0","0","0.00","0"
"com.sun.proxy.$Proxy4","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor15","0","0","0","0.00","0"
"com.sun.proxy.$Proxy3","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor14","0","0","0","0.00","0"
"com.sun.proxy.$Proxy17","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor13","0","0","0","0.00","0"
"com.sun.proxy.$Proxy34","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor12","0","0","0","0.00","0"
"com.sun.proxy.$Proxy27","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor11","0","0","0","0.00","0"
"com.sun.proxy.$Proxy25","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor10","0","0","0","0.00","0"
"org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor9","0","0","0","0.00","0"
"org.springframework.boot.autoconfigure.condition.OnPropertyCondition","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor8","0","0","0","0.00","0"
"org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar","0","0","0","0.00","0"
"java.lang.IllegalArgumentException","0","0","0","0.00","0"
"java.lang.reflect.InvocationTargetException","0","0","0","0.00","0"
"sun.reflect.GeneratedConstructorAccessor7","0","0","0","0.00","0"
"org.springframework.boot.autoconfigure.condition.OnBeanCondition","0","0","0","0.00","0"
